solution	objective	context	oxygen_pct	cohort	N_ref	current_N_min	current_N_max	expanded_N_min	expanded_N_max	current_misseg_nonviable_rate	expanded_misseg_nonviable_rate	current_boundary_dropped_rate	expanded_boundary_dropped_rate	upper_truncation_rate_removed	current_boundary_share	expanded_boundary_share	upper_truncation_share_of_current_cin_loss
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	invivo	3.1050228310502	5N	110	22	154	22	308	0.131762273380205	0.131762273380205	4.0741796261365e-05	0	4.0741796261365e-05	0.000309111261277424	0	0.000309111261277424
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	invivo	3.110632779023	5N	110	22	154	22	308	0.131401987056991	0.131401987056991	4.07446644989925e-05	0	4.07446644989925e-05	0.000309980353918125	0	0.000309980353918125
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	invivo	3.12	5N	110	22	154	22	308	0.130801169740792	0.130801169740792	4.0749406047911e-05	0	4.0749406047911e-05	0.000311439990437463	0	0.000311439990437463
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	invivo	3.1278538812785	5N	110	22	154	22	308	0.130298188699401	0.130298188699401	4.07533361535739e-05	0	4.07533361535739e-05	0.000312671988257024	0	0.000312671988257024
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	invivo	3.1333962395167	5N	110	22	154	22	308	0.129943676484861	0.129943676484861	4.07560849439259e-05	0	4.07560849439259e-05	0.000313545892674792	0	0.000313545892674792
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	invivo	3.14	5N	110	22	154	22	308	0.129521752329993	0.129521752329993	4.07593338354015e-05	0	4.07593338354015e-05	0.000314592032154783	0	0.000314592032154783
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	invivo	3.1506849315068	5N	110	22	154	22	308	0.128840207720786	0.128840207720786	4.07645307107514e-05	0	4.07645307107514e-05	0.000316295958965951	0	0.000316295958965951
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	invivo	3.1561597000104	5N	110	22	154	22	308	0.128491552253466	0.128491552253466	4.07671651824013e-05	0	4.07671651824013e-05	0.000317174430266186	0	0.000317174430266186
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	invivo	3.16	5N	110	22	154	22	308	0.128247215846864	0.128247215846864	4.07690018180743e-05	0	4.07690018180743e-05	0.000317792830452219	0	0.000317792830452219
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	invivo	3.1735159817352	5N	110	22	154	22	308	0.127388810535376	0.127388810535376	4.07753925142746e-05	0	4.07753925142746e-05	0.000319983716633503	0	0.000319983716633503
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	invivo	3.1789231605041	5N	110	22	154	22	308	0.127046084917788	0.127046084917788	4.07779175535288e-05	0	4.07779175535288e-05	0.000320866505347307	0	0.000320866505347307
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	invivo	3.18	5N	110	22	154	22	308	0.126977878844521	0.126977878844521	4.07784182809978e-05	0	4.07784182809978e-05	0.000321042744111418	0	0.000321042744111418
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	invivo	3.1963470319635	5N	110	22	154	22	308	0.125944459728041	0.125944459728041	4.07859336086252e-05	0	4.07859336086252e-05	0.000323735794572019	0	0.000323735794572019
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	invivo	3.2	5N	110	22	154	22	308	0.125714047057487	0.125714047057487	4.07875911994895e-05	0	4.07875911994895e-05	0.000324342132160845	0	0.000324342132160845
