component,value,pair,seed,objective
joint_soft_coupling_n_params,14,fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,seed18,19.4144872936097
joint_soft_coupling_welsch_c,0.4,fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,seed18,19.4144872936097
weight_invivo,1,fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,seed18,19.4144872936097
weight_invitro,1,fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,seed18,19.4144872936097
objective_invivo,14.6037302670932,fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,seed18,19.4144872936097
objective_invivo_data,13.9716097977617,fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,seed18,19.4144872936097
objective_invivo_prior,0.63212046933156,fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,seed18,19.4144872936097
objective_invivo_burden,7.80740880161728,fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,seed18,19.4144872936097
objective_invivo_ploidy,5.10278716616428,fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,seed18,19.4144872936097
objective_invivo_necrosis,1.06141382998011,fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,seed18,19.4144872936097
objective_invivo_necrosis_raw,1.06141382998011,fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,seed18,19.4144872936097
objective_invitro,3.85267475313488,fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,seed18,19.4144872936097
invitro_growth_loglik,0.17080364197105,fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,seed18,19.4144872936097
invitro_ploidy_loglik,-3.09655537289332,fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,seed18,19.4144872936097
invitro_flow_loglik,-0.926923022212615,fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,seed18,19.4144872936097
joint_restriction,FALSE,fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,seed18,19.4144872936097
joint_constraint_penalty,1e+09,fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,seed18,19.4144872936097
joint_require_invivo_pred1000_ploidy_gt2,FALSE,fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,seed18,19.4144872936097
joint_require_invitro_growth_nonnegative,FALSE,fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,seed18,19.4144872936097
joint_require_invitro_ploidy_phenotype,FALSE,fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,seed18,19.4144872936097
invitro_growth_nonnegative_pass,TRUE,fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,seed18,19.4144872936097
invitro_n_growth_negative_pred,0,fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,seed18,19.4144872936097
invivo_pred1000_ploidy_pass,,fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,seed18,19.4144872936097
invivo_pred1000_min_ploidy_fold,,fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,seed18,19.4144872936097
invivo_pred1000_threshold_ploidy_fold,2,fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,seed18,19.4144872936097
invivo_pred1000_n_rows,,fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,seed18,19.4144872936097
invivo_pred1000_status,disabled,fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,seed18,19.4144872936097
invitro_ploidy_phenotype_pass,,fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,seed18,19.4144872936097
invitro_2N_deprived_wgd_pass,,fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,seed18,19.4144872936097
invitro_2N_deprived_wgd_max_fraction,,fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,seed18,19.4144872936097
invitro_2N_deprived_wgd_min_N,80,fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,seed18,19.4144872936097
invitro_2N_deprived_wgd_min_fraction,0.01,fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,seed18,19.4144872936097
invitro_2N_deprived_max_mean_N,,fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,seed18,19.4144872936097
invitro_4N_deprived_chr_drop_pass,,fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,seed18,19.4144872936097
