seed,rank,cohort,day,n_tumors,observed_burden_min,observed_burden_max,observed_burden_cv,n_unique_predicted_burdens,predicted_burden_min,predicted_burden_max
seed26,10,2N,53,4,1594.6875,2314.704,0.16195142501975296,1,1738.00922701168,1738.00922701168
seed26,10,2N,56,4,1683.136,3375.352,0.3431351669384108,1,2132.47058052343,2132.47058052343
seed26,10,4N,35,2,73.2305,113.715,0.30625893089640327,1,106.543228281618,106.543228281618
seed26,10,4N,39,2,117.6,207.1035,0.389823526940302,1,129.03369925672,129.03369925672
seed26,10,4N,42,2,109.8,340.9175,0.7251759760864928,1,150.596890067782,150.596890067782
seed26,10,4N,46,3,13.95,471.3705,0.9196487047263852,1,187.723414090453,187.723414090453
seed26,10,4N,49,3,50.625,848.718,1.0268446308237722,1,223.71987461774,223.71987461774
seed26,10,4N,53,3,126.15,1079.09,0.9589750011682227,1,286.153511351061,286.153511351061
seed26,10,4N,56,4,95.506,1385.208,1.1107289031818546,1,346.971687906907,346.971687906907
seed26,10,4N,60,4,214.2425,1734.104,1.037838780607292,1,452.766942461862,452.766942461862
seed26,10,4N,63,4,312.05,1898.6355,0.9017640864164814,1,556.003015955478,556.003015955478
seed26,10,4N,67,4,452.824,2810.712,0.8612775705369408,1,735.746697816583,735.746697816583
seed26,10,4N,70,4,458.397,3139.0625,0.8437778961194023,1,911.201905409559,911.201905409559
seed26,10,4N,74,4,779.76,4139.96,0.7920665313577271,1,1216.66433838638,1216.66433838638
seed26,10,4N,77,4,856.3095,5899.278,0.9211079136735385,1,1514.74157655362,1514.74157655362
seed26,10,4N,81,2,919.1375,1463.414,0.32306676601994117,1,2033.40772238513,2033.40772238513
seed26,10,4N,84,2,1802.112,2058.75,0.09400515745455452,1,2539.20832911866,2539.20832911866
seed26,10,4N,88,2,2044.224,3239.532,0.31992786661856826,1,3418.65976202998,3418.65976202998
seed26,10,4N,91,2,2423.025,3914.144,0.3327606874476926,1,4275.62289754033,4275.62289754033
