pair,rank,seed,optimizer_name,initial,final,abs_move
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,7,seed268,gamma_growth,1.87124074243996,1.87124074243996,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,7,seed268,log10_mu_hp,-1.54656298245412,-1.54656298245412,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,7,seed268,log10_p_misseg,-1.13881643036999,-1.13881643036999,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,7,seed268,log10_k_o_mis,-3.28161315880086,-3.28161315880086,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,7,seed268,buffer_smax,0.997390253792811,0.997390253792811,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,7,seed268,log10_buffer_beta,-0.575886287278859,-0.575886287278859,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,7,seed268,log10_buffer_n_exp,-0.0657285004210214,-0.0657285004210214,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,7,seed268,n_O,2.55517829746501,2.55517829746501,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,7,seed268,log10_lam_max,-0.37154577691773,-0.37154577691773,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,7,seed268,log10_p_mis_base,-4.64212308426928,-4.64212308426928,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,7,seed268,log10_p_wgd,-3.30859788526459,-3.30859788526459,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,7,seed268,gamma_mu,1.85826385827691,1.91348955668161,0.05522569840469993
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,7,seed268,delta__log10_O2_crit,-0.707839637125871,-0.707839637125871,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,7,seed268,delta__log10_alpha_o2,0.804803819939848,0.804803819939848,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,7,seed268,delta__gamma_growth,0.74248148487991,0.74248148487991,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,7,seed268,delta__log10_mu_hp,1.50893402641973,1.50893402641973,0.0
