fit,seed,rank,parameter,value,lower,upper,status
invitro,seed106,6,alpha_o2,0.5,0.5,4.0,lower
invitro,seed106,6,gamma_growth,1.5,1.5,4.5,lower
invitro,seed106,6,mu_hp,0.005,0.005,0.3,lower
invitro,seed106,6,gamma_mu,1.2,1.2,3.5,lower
invitro,seed106,6,O2_crit,0.891215845742154,0.0001,2.5,interior
invitro,seed106,6,n_O,1.46478976880333,0.0001,5.0,interior
invitro,seed106,6,sigma_growth,0.205887698297092,0.001,1.0,interior
invitro,seed106,6,sigma_kary,0.0283381846825376,0.01,10.0,interior
invitro,seed106,6,init_mean_2N,46.1241699239393,45.725,49.725,interior
invitro,seed106,6,init_sd_2N,2.44727501835091,0.5,3.0,interior
invitro,seed106,6,init_mean_4N,83.9459142009152,83.666667,91.666667,interior
invitro,seed106,6,init_sd_4N,4.14151578077246,1.5,6.0,interior
invitro,seed106,6,p_mis_base,0.0002220180212945,1e-06,0.005,interior
invitro,seed317,7,lam_max,1.33725064864821,0.005,1.5,interior
invitro,seed317,7,p_misseg,0.0105527539224966,0.005,0.4,interior
invitro,seed317,7,k_o_mis,7.94843877495384e-05,1e-05,0.02,interior
invitro,seed317,7,p_wgd,0.0005984790262842,1e-05,0.001,interior
invitro,seed317,7,alpha_o2,0.5,0.5,4.0,lower
invitro,seed317,7,gamma_growth,1.5,1.5,4.5,lower
invitro,seed317,7,mu_hp,0.005,0.005,0.3,lower
invitro,seed317,7,gamma_mu,1.2,1.2,3.5,lower
invitro,seed317,7,O2_crit,2.48345884613439,0.0001,2.5,interior
invitro,seed317,7,n_O,2.48372840205588,0.0001,5.0,interior
invitro,seed317,7,sigma_growth,0.205192610906005,0.001,1.0,interior
invitro,seed317,7,sigma_kary,0.265506381741414,0.01,10.0,interior
invitro,seed317,7,init_mean_2N,46.067782261779,45.725,49.725,interior
invitro,seed317,7,init_sd_2N,2.45948288444098,0.5,3.0,interior
invitro,seed317,7,init_mean_4N,83.7838054589518,83.666667,91.666667,interior
invitro,seed317,7,init_sd_4N,3.75382870681839,1.5,6.0,interior
invitro,seed317,7,p_mis_base,1.94691830401947e-05,1e-06,0.005,interior
invitro,seed140,8,lam_max,1.35704041675989,0.005,1.5,interior
invitro,seed140,8,p_misseg,0.0107390796621212,0.005,0.4,interior
invitro,seed140,8,k_o_mis,4.85599067217471e-05,1e-05,0.02,interior
invitro,seed140,8,p_wgd,0.0002468741231347,1e-05,0.001,interior
invitro,seed140,8,alpha_o2,0.5,0.5,4.0,lower
invitro,seed140,8,gamma_growth,1.5,1.5,4.5,lower
invitro,seed140,8,mu_hp,0.005,0.005,0.3,lower
invitro,seed140,8,gamma_mu,1.2,1.2,3.5,lower
invitro,seed140,8,O2_crit,1.52701586634168,0.0001,2.5,interior
invitro,seed140,8,n_O,2.15574272929139,0.0001,5.0,interior
invitro,seed140,8,sigma_growth,0.206827481580485,0.001,1.0,interior
invitro,seed140,8,sigma_kary,0.0387302521948603,0.01,10.0,interior
invitro,seed140,8,init_mean_2N,45.7743513096645,45.725,49.725,interior
invitro,seed140,8,init_sd_2N,2.41061492494261,0.5,3.0,interior
invitro,seed140,8,init_mean_4N,83.6680121870655,83.666667,91.666667,interior
invitro,seed140,8,init_sd_4N,3.4597148140174,1.5,6.0,interior
invitro,seed140,8,p_mis_base,4.44814876171997e-05,1e-06,0.005,interior
invitro,seed285,9,lam_max,1.32664976137662,0.005,1.5,interior
invitro,seed285,9,p_misseg,0.0105992842876777,0.005,0.4,interior
invitro,seed285,9,k_o_mis,6.7473550837925e-05,1e-05,0.02,interior
invitro,seed285,9,p_wgd,0.000431087067535,1e-05,0.001,interior
invitro,seed285,9,alpha_o2,0.5,0.5,4.0,lower
invitro,seed285,9,gamma_growth,1.5,1.5,4.5,lower
invitro,seed285,9,mu_hp,0.005,0.005,0.3,lower
invitro,seed285,9,gamma_mu,1.2,1.2,3.5,lower
invitro,seed285,9,O2_crit,2.17462948119596,0.0001,2.5,interior
invitro,seed285,9,n_O,2.44039845999629,0.0001,5.0,interior
invitro,seed285,9,sigma_growth,0.212580111096068,0.001,1.0,interior
invitro,seed285,9,sigma_kary,0.3289151321627,0.01,10.0,interior
invitro,seed285,9,init_mean_2N,45.8901921793176,45.725,49.725,interior
invitro,seed285,9,init_sd_2N,2.46606600127052,0.5,3.0,interior
invitro,seed285,9,init_mean_4N,83.767805807105,83.666667,91.666667,interior
invitro,seed285,9,init_sd_4N,3.72898034669232,1.5,6.0,interior
invitro,seed285,9,p_mis_base,1.93103657847506e-05,1e-06,0.005,interior
invitro,seed464,10,lam_max,1.35098742775355,0.005,1.5,interior
invitro,seed464,10,p_misseg,0.010914704522285,0.005,0.4,interior
invitro,seed464,10,k_o_mis,0.0002317272696732,1e-05,0.02,interior
invitro,seed464,10,p_wgd,0.0003103664159483,1e-05,0.001,interior
invitro,seed464,10,alpha_o2,0.5,0.5,4.0,lower
invitro,seed464,10,gamma_growth,1.5,1.5,4.5,lower
invitro,seed464,10,mu_hp,0.005,0.005,0.3,lower
invitro,seed464,10,gamma_mu,1.2,1.2,3.5,lower
invitro,seed464,10,O2_crit,1.02401604035258,0.0001,2.5,interior
invitro,seed464,10,n_O,1.30673169536098,0.0001,5.0,interior
invitro,seed464,10,sigma_growth,0.200452615063796,0.001,1.0,interior
invitro,seed464,10,sigma_kary,0.0145028417446106,0.01,10.0,interior
invitro,seed464,10,init_mean_2N,46.0827775171452,45.725,49.725,interior
invitro,seed464,10,init_sd_2N,2.31285115411939,0.5,3.0,interior
invitro,seed464,10,init_mean_4N,84.277120323693,83.666667,91.666667,interior
invitro,seed464,10,init_sd_4N,2.78216856393094,1.5,6.0,interior
invitro,seed464,10,p_mis_base,1.59452592474152e-06,1e-06,0.005,interior
